/node0/timestamp,/node0/temperature,/node0/humidity
1647372161.936463,21.36,0.55
1647372167.1468344,21.37,0.54
1647372172.3546352,21.36,0.54
1647372177.5488157,21.37,0.54
1647372182.7342296,21.33,0.54
1647372186.9151235,21.33,0.54
1647372192.1215222,21.33,0.54
1647372197.3020089,21.35,0.54
1647372202.4926085,21.32,0.54
1647372207.6989064,21.37,0.54
1647372212.896021,21.36,0.54
1647372217.0680993,21.37,0.54
1647372222.2634969,21.39,0.54
1647372227.4653926,21.39,0.54
1647372232.6675153,21.37,0.54
1647372237.859412,21.35,0.54
1647372242.0210352,21.36,0.54
1647372247.2110608,21.39,0.54
1647372252.4260042,21.37,0.54
1647372257.62779,21.42,0.54
1647372262.8192277,21.39,0.54
1647372268.0258808,21.4,0.54
1647372272.1969209,21.39,0.54
1647372277.397968,21.4,0.54
1647372282.5951827,21.42,0.54
1647372287.785273,21.4,0.54
1647372292.9746964,21.39,0.54
1647372297.144968,21.4,0.54
1647372302.3377008,21.42,0.54
1647372307.5385752,21.45,0.54
1647372312.7478213,21.45,0.54
1647372317.944954,21.47,0.54
1647372322.1038907,21.46,0.54
1647372327.2979152,21.47,0.54
1647372332.496341,21.49,0.54
1647372337.7047405,21.47,0.54
1647372342.906393,21.47,0.54
1647372348.0996103,21.49,0.54
1647372352.256299,21.46,0.54
1647372357.4660718,21.47,0.54
1647372362.6709085,21.45,0.54
1647372367.8601887,21.45,0.54
1647372373.066167,21.46,0.54
1647372377.2231684,21.45,0.54
1647372382.432862,21.43,0.54
1647372387.6113646,21.45,0.54
1647372392.829189,21.45,0.54
1647372398.023982,21.46,0.54
1647372402.1775134,21.45,0.54
1647372407.3845112,21.43,0.54
1647372412.5791671,21.43,0.54
1647372417.7805977,21.46,0.54
1647372422.9924538,21.43,0.54
1647372428.179371,21.42,0.54
1647372432.3391426,21.45,0.54
1647372437.542523,21.45,0.54
1647372442.736494,21.43,0.54
1647372447.954882,21.4,0.54
1647372453.1307163,21.42,0.54
1647372457.2991962,21.42,0.54
1647372462.505686,21.46,0.54
1647372467.6940804,21.42,0.54
1647372472.9006152,21.45,0.54
1647372478.1022103,21.45,0.54
1647372483.3051794,21.4,0.54
1647372487.4654005,21.43,0.54
